name
3M Company
Abbott Laboratories
adidas AG
AGL Energy Limited
Agnico?Eagle Mines Limited
Air France?KLM SA
Akzo Nobel N.V.
Alcatel?Lucent SA
Alcoa Inc.
Allianz SE
"Asahi Glass Co., Ltd.
AT&T Inc.
Australia and New Zealand Banking Group Limited
Aviva plc
Ball Corporation
Bank of Montreal
BASF SE
Baxter International Inc.
BCE Inc.
BNP Paribas SA
Campbell Soup Company
Cenovus Energy Inc.
City Developments Limited
CLP Holdings Limited
CNH Industrial NV
Commonwealth Bank of Australia
Core Laboratories NV
Credit Agricole SA
CRH Plc
"Dai Nippon Printing Co., Ltd.
Danone SA
Dexus Property Group
EDP ? Energias de Portugal SA
EMC Corporation
Enagas SA
Enel S.p.A.
European Aeronautic Defence & Space NV
Fonciere des Regions SA
Fraport AG
Freeport?McMoRan Copper & Gold Inc.
Fujitsu Limited
G4S plc
GDF SUEZ SA
General Electric Company
Goldcorp Inc.
Erste Group Bank
Henkel AG & Co. KGaA Pref
"Hitachi,Ltd.
Hong Kong Exchanges & Clearing Ltd.
Iluka Resources Limited
Imperial Oil Limited
Intel Corporation
International Business Machines Corporation
International Paper Company
Intesa Sanpaolo S.p.A.
"Johnson Controls, Inc.
JSR Corp.
Kao Corp.
KDDI Corporation
Kinross Gold Corporation
Klepierre SA
"Konica Minolta, Inc.
Lafarge SA
L'Oreal SA
Masco Corporation
"Medtronic, Inc.
"Merck & Co., Inc.
Munich Reinsurance Company
National Australia Bank Limited
National Grid plc
NEC Corp.
Newcrest Mining Limited
Newmont Mining Corporation
"NextEra Energy, Inc.
Nippon Telegraph and Telephone Corporation
Nitto Denko Corp.
Norsk Hydro ASA
"NTT DoCoMo, Inc.
Orange SA
Peugeot SA
Potash Corporation of Saskatchewan Inc.
Power Assets Holdings Limited
"Praxair, Inc.
Provident Financial PLC
Public Service Enterprise Group Incorporated
Rogers Communications Inc. Class B
Royal DSM NV
Royal Philips NV
"Shiseido Company,Limited
Sigma?Aldrich Corporation
Sims Metal Management Limited
Snam S.p.A.
Societe Generale S.A. Class A
Solvay SA
Spectra Energy Corp
Sprint Corp.
STMicroelectronics NV
Stockland
SUEZ Environnement Co. SA
"Sumitomo Metal Mining Co., Ltd.
Teck Resources Limited Class B
Telstra Corporation Limited
Terna S.p.A.
The Bank of Nova Scotia
The British Land Company PLC
The GPT Group
The Mosaic Company
"Tokio Marine Holdings, Inc.
Toshiba Corp.
Transurban Group Ltd.
Umicore
Unibail?Rodamco SE
Unilever NV Cert. of shs
Unilever PLC
Vallourec SA
Vivendi SA
"Waste Management, Inc.
Westpac Banking Corporation
Weyerhaeuser Company
Woodside Petroleum Ltd
Xcel Energy Inc.
